university_name,program_name,degree_level,field_of_study,specialization,study_mode,delivery_mode,campus,intake_periods,duration,annual_tuition_fee_aud,fee_year,fee_basis,english_requirement,cricos_code,program_code,description,source_url,source_note
Adelaide University,Bachelor of Business majoring in Management,Bachelor,Business,Management,Full-time,On campus,Adelaide City Campus,February; July,3 years full-time,50500,2026,International indicative annual fee,IELTS Overall 6.5; Reading 6; Listening 6; Speaking 6; Writing 6,115681C,BBUSI,"Business degree focused on leadership, people management, strategic management and global business practices.",https://adelaideuni.edu.au/study/degrees/bachelor-of-business-management/int/,Official Adelaide University international course page.
Adelaide University,Bachelor of Science,Bachelor,Science,Flexible science degree,Full-time,On campus,Adelaide City Campus; Mawson Lakes; Roseworthy Campus; Waite Campus,February; July,3 years full-time,53300,2026,International indicative annual fee,,,BSCIE,"Flexible science degree with majors across natural and physical sciences, plus professional science project or placement.",https://adelaideuni.edu.au/study/degrees/bachelor-of-science/int/,Official Adelaide University international course page.
Adelaide University,Bachelor of Engineering (Civil) (Honours),Bachelor,Engineering,Civil Engineering,Full-time,On campus,Adelaide City Campus; Mawson Lakes,February; July,4 years full-time,54900,2026,International indicative annual fee,IELTS Overall 6.5; Reading 6; Listening 6; Speaking 6; Writing 6,115699D,HENCI,"Civil engineering honours degree focused on infrastructure design, safety and adaptability.",https://adelaide.edu.au/study/degrees/bachelor-of-engineering-civil-honours/int/,Official Adelaide University international course page.
Adelaide University,Master of Accounting,Master,Accounting,Accounting,Full-time,On campus,Adelaide City Campus,February; July,2 years full-time,52200,2026,International indicative annual fee,IELTS Overall 6.5; Reading 6; Listening 6; Speaking 6; Writing 6,115893B,MAACC,"Accounting master’s covering financial and management accounting, auditing, taxation and an industry project.",https://adelaideuni.edu.au/study/degrees/master-of-accounting/int/,Official Adelaide University international course page.
Adelaide University,Master of Teaching (Secondary),Master,Education,Secondary Teaching,Full-time,On campus or online,Adelaide City Campus; Mawson Lakes,February,2 years full-time,43400,2026,International indicative annual fee,IELTS Overall 7; Reading 7; Listening 7; Speaking 7; Writing 7,115963D,MATSE,"Secondary teacher education master’s with two 30-day placements and focus on inclusive, digital-first teaching.",https://adelaideuni.edu.au/study/degrees/master-of-teaching-secondary/int/,Official Adelaide University international course page.
Flinders University,Bachelor of Information Technology,Bachelor,Information Technology,General IT,Full-time or part-time,In person; also online,Tonsley; City,March; July,3 years full-time,43600,2026,Full fee paying (page also lists CSP 9537),IELTS overall 6.0; Speaking 6.0; Writing 6.0,020067D,,"Industry-designed IT degree with project experience and pathways across software, cybersecurity, cloud and systems.",https://www.flinders.edu.au/study/courses/bachelor-information-technology,Official Flinders course page.
Flinders University,Bachelor of Business,Bachelor,Business,General business,Full-time or part-time,In person; also online,Bedford Park; City,March; July,3 years full-time,39000,2026,Full fee paying (page also lists CSP 17399),,058294B,,"Tech-driven business degree with majors such as marketing, event management and HR, plus practical experience.",https://www.flinders.edu.au/study/courses/bachelor-business,Official Flinders course page.
Flinders University,Bachelor of Business Analytics,Bachelor,Business Analytics,Business Analytics,Full-time,In person (on campus),Bedford Park; City,March; July,3 years full-time,39000,2026,Annual fee on page,IELTS overall 6.0; Speaking 6.0; Writing 6.0,116920G,,Analytics degree using AI tools and industry-engaged projects to turn data into business decisions.,https://www.flinders.edu.au/study/courses/bachelor-business-analytics,Official Flinders course page.
Flinders University,Master of Data Science,Master,Data Science,Data Science,Full-time or part-time,In person,Tonsley; City,March; July,2 years full-time,42900,2026,Annual fee on page (City international),,105119A,,"Postgraduate data science program focused on big data, analytics and industry-linked project work.",https://www.flinders.edu.au/study/courses/postgraduate-data-science,Official Flinders course page.
Flinders University,Bachelor of Engineering (Software) (Honours),Bachelor,Engineering,Software Engineering,Full-time,In person,City (Year 1); Tonsley (Years 2-4),March; July,4 years full-time,47300,2026,Full fee paying (page also lists CSP 9537),IELTS overall 6.0; Speaking 6.0; Writing 6.0,083450J,,"Honours software engineering degree with industry practicum, cloud, AI, security and scalable systems focus.",https://www.flinders.edu.au/study/courses/bachelor-engineering-software-honours,Official Flinders course page.
Torrens University Australia,Bachelor of Business,Bachelor,Business,General business,Full-time; part-time; accelerated,Online; On campus; Blended,Sydney; Melbourne; Brisbane; Adelaide; Online,01 Jun 2026; 14 Sep 2026,3 years full time; 6 years part time; 2 years accelerated,,,Fee page linked but numeric value not exposed in accessible page text,,090275E,,"Broad business degree with electives, work placements and internships across endorsed host organisations.",https://www.torrens.edu.au/courses/business/bachelor-of-business,Official Torrens course page.
Torrens University Australia,Bachelor of Information Technology,Bachelor,Information Technology,General IT,Full-time; part-time,Online; On campus; Blended,Sydney; Melbourne; Brisbane; Adelaide; Online,01 Jun 2026; 14 Sep 2026,3 years full time; up to 6 years part time,,,Fee page linked but numeric value not exposed in accessible page text,,108468M,,"IT degree co-designed with industry covering programming, software engineering, networks, databases, cloud and smart technologies.",https://www.torrens.edu.au/courses/technology/bachelor-of-information-technology,Official Torrens course page.
Torrens University Australia,Master of Public Health,Master,Public Health,Public Health,Full-time; part-time; accelerated,Online; On campus,Sydney; Melbourne; Brisbane; Adelaide; Online,01 Jun 2026; 14 Sep 2026,1.5 years full time; part-time options available; 1 year accelerated,,,Fee page linked but numeric value not exposed in accessible page text,,097404M,,"Public health master’s covering disease prevention, health policy, systems, economics and social determinants of health.",https://www.torrens.edu.au/courses/health/master-of-public-health,Official Torrens course page.
Torrens University Australia,Master of Business Administration,Master,Business Administration,MBA,Full-time; part-time; accelerated,Online; On campus; Blended,Sydney; Melbourne; Brisbane; Adelaide; Online,01 Jun 2026; 14 Sep 2026,1.5 years full time; part-time options available; 1 year accelerated,,,Course page says 'competitive fees' but accessible text does not expose exact number,,095353M,,"MBA focused on strategic thinking, leadership and solving contemporary business challenges with industry-experienced academics.",https://www.torrens.edu.au/courses/business/master-of-business-administration-mba,Official Torrens course page.
Torrens University Australia,Bachelor of Business (Marketing),Bachelor,Business,Marketing,Full-time; part-time; accelerated,Online; On campus; Blended,Sydney; Melbourne; Brisbane; Adelaide; Online,01 Jun 2026; 14 Sep 2026,3 years full time; 6 years part time; 2 years accelerated,,,Fee page linked but numeric value not exposed in accessible page text,,090279A,,Marketing-focused business degree with 300 hours of professional work placement and AMI accreditation.,https://www.torrens.edu.au/courses/business/bachelor-of-business-marketing,Official Torrens course page.
CQUniversity,Bachelor of Information Technology,Bachelor,Information Technology,General IT,Full-time; part-time,On campus; Online,Online and 5+ campuses,"Term 2, 2026",3 years full-time; 6 years part-time,,2026,"International page found, but accessible snippet did not expose exact first-year fee",,,CQ18,IT degree with authentic learning experience and industry-valued skills for ICT careers.,https://www.cqu.edu.au/courses/cq18/bachelor-of-information-technology?audience=INTERNATIONAL,Official CQU international course page.
CQUniversity,Master of Information Systems,Master,Information Systems,Information Systems,Full-time; part-time,On campus; Online,Brisbane and 3+ locations,"Term 2, 2026",2 years full-time; 4 years part-time,39690,2026,International indicative first-year fee,,083580K,CC53,"Information systems master’s focused on enterprise systems, emerging technologies, big data and business intelligence.",https://www.cqu.edu.au/courses/cc53/master-of-information-systems?audience=INTERNATIONAL,Official CQU international course page.
